t0_tag,gene,sim_l2_end,sim_l2_start,scan_l2,bio_rank,mean_expr,frac_expr,is_ref,sim_rank
t70d_RG,MIR9-1HG,0.46963573,0.25111514,0.25111514,5,9.098686,0.7833576642335767,False,1
t70d_RG,NACA,0.4400819,0.28709322,0.28709322,2,4.8554745,0.9667153284671532,False,2
t70d_RG,TUBA1B,0.4338301,0.30695167,0.30695167,1,13.150365,0.9497810218978102,False,3
t70d_RG,CKB,0.4321821,0.2604324,0.2604324,3,9.699854,0.9763503649635036,False,4
t70d_RG,PTN,0.4299298,0.2270489,0.2270489,7,9.64438,0.7816058394160584,False,5
t70d_RG,FABP7,0.41805643,0.25511453,0.25511453,4,7.8864236,0.7725547445255474,False,6
t70d_RG,STMN1,0.4077998,0.22217232,0.22217232,9,9.48,0.9836496350364964,False,7
t70d_RG,MAP1B,0.40511578,0.2180596,0.2180596,11,8.394452,0.9667153284671532,False,8
t70d_RG,NFIA,0.39697707,0.20969468,0.20969468,12,5.4335766,0.8262773722627738,False,9
t70d_RG,NFIB,0.3812188,0.20556094,0.20556094,14,4.829197,0.8423357664233576,False,10
t70d_RG,MARCKS,0.35765904,0.2420789,0.2420789,6,5.3754745,0.964963503649635,False,11
t70d_RG,HMGB1,0.34941697,0.20927943,0.20927943,13,13.110073,0.9906569343065692,False,12
t70d_RG,MEIS2,0.3470503,0.19750121,0.19750121,15,4.8969345,0.6426277372262774,False,13
t70d_RG,H2AZ1,0.3456411,0.22146204,0.22146204,10,8.823358,0.9448175182481752,False,14
t70d_RG,PANTR1,0.34388977,0.17887503,0.17887503,18,3.511241,0.8154744525547445,False,15
t70d_RG,NPAS3,0.34200823,0.16272694,0.16272694,20,6.6239414,0.9413138686131388,False,16
t70d_RG,MARCKSL1,0.33568794,0.19525419,0.19525419,17,6.359124,0.9862773722627736,False,17
t70d_RG,TPI1,0.31825528,0.17246673,0.17246673,19,3.90073,0.9162043795620438,False,18
t70d_RG,MIR99AHG,0.31262246,0.1481039,0.1481039,21,6.128467,0.9144525547445256,False,19
t70d_RG,SOX11,0.30683073,0.22454768,0.22454768,8,2.04,0.5792700729927007,False,20
t70d_RG,NKAIN3,0.30504248,0.13243121,0.13243121,26,4.9214597,0.8616058394160584,False,21
t70d_RG,SOX5,0.30382448,0.13863422,0.13863422,24,5.502774,0.9074452554744524,False,22
t70d_RG,HES1,0.28883097,0.14449981,0.14449981,23,5.0508027,0.8478832116788321,True,23
t70d_RG,NAP1L1,0.2819846,0.10897167,0.10897167,50,5.5661316,0.9348905109489052,False,24
t70d_RG,TCF7L2-1,0.28035563,0.12487293,0.12487293,31,3.2458394,0.7921167883211678,False,25
t70d_RG,HNRNPH1,0.2790412,0.19657987,0.19657987,16,1.9941605,0.6616058394160584,False,26
t70d_RG,FOS,0.27138433,0.13015844,0.13015844,27,4.140146,0.5886131386861314,False,27
t70d_RG,NNAT,0.26936594,0.12477599,0.12477599,32,3.6945984,0.8656934306569343,False,28
t70d_RG,DACH1,0.2677593,0.11868963,0.11868963,38,3.7132847,0.670948905109489,False,29
t70d_RG,TUBB3,0.26314175,0.11505629,0.11505629,43,2.2423358,0.7967883211678832,False,30
t70d_RG,NPM1,0.2619019,0.1189774,0.1189774,36,4.170511,0.9471532846715328,False,31
t70d_RG,EMX2,0.25914192,0.116600245,0.116600245,41,1.790365,0.5456934306569343,False,32
t70d_RG,NR2F1,0.25736699,0.11870495,0.11870495,37,1.4864234,0.5643795620437956,False,33
t70d_RG,SOX4,0.25553825,0.12003148,0.12003148,34,3.7506568,0.8665693430656934,False,34
t70d_RG,PKM,0.2550129,0.13287525,0.13287525,25,2.7223358,0.8604379562043796,False,35
t70d_RG,TTYH1,0.25470692,0.11567057,0.11567057,42,3.3976643,0.8551824817518248,False,36
t70d_RG,PTPRZ1,0.25288698,0.096730225,0.096730225,62,3.250803,0.8624817518248176,False,37
t70d_RG,LINC00461,0.25253022,0.116700664,0.116700664,40,3.0569344,0.8224817518248175,False,38
t70d_RG,NLGN1,0.25146705,0.100737624,0.100737624,57,4.688175,0.8122627737226278,False,39
t70d_RG,GAS5,0.24942665,0.10911679,0.10911679,49,2.2183943,0.8186861313868613,False,40
t70d_RG,BASP1,0.24936438,0.10385733,0.10385733,56,2.6437957,0.8096350364963504,False,41
t70d_RG,MPPED2,0.24926496,0.10976122,0.10976122,47,2.3360584,0.6172262773722628,False,42
t70d_RG,LINC01551,0.24875969,0.11976218,0.11976218,35,2.2078831,0.5331386861313868,False,43
t70d_RG,TCF7L2,0.24764994,0.111066125,0.111066125,44,1.8727007,0.5527007299270073,False,44
t70d_RG,ADGRB3,0.2476038,0.10652526,0.10652526,52,5.418686,0.8966423357664234,False,45
t70d_RG,SET,0.24631034,0.14580493,0.14580493,22,1.9220438,0.741897810218978,False,46
t70d_RG,PAX6,0.24325927,0.12430174,0.12430174,33,1.4867153,0.6096350364963503,True,47
t70d_RG,QKI,0.24058998,0.09397826,0.09397826,66,4.309197,0.8861313868613139,False,48
t70d_RG,JUN,0.24041206,0.12859821,0.12859821,29,4.4864235,0.8274452554744526,False,49
t70d_RG,HMGB2,0.2403127,0.105940595,0.105940595,54,7.0943065,0.7854014598540145,False,50
t70d_RG,TUBB2A,0.23989521,0.10985613,0.10985613,45,2.438832,0.7252554744525548,False,51
t70d_RG,DLGAP1,0.23985131,0.0876706,0.0876706,77,2.6858394,0.6353284671532847,False,52
t70d_RG,EEF1D,0.23971063,0.11679485,0.11679485,39,3.5237956,0.9214598540145984,False,53
t70d_RG,LDHB,0.23916824,0.106892586,0.106892586,51,3.049635,0.8817518248175182,False,54
t70d_RG,RAN,0.23846598,0.10455119,0.10455119,55,4.150949,0.9284671532846716,False,55
t70d_RG,FABP5P1,0.23725016,0.10981466,0.10981466,46,2.5089052,0.7313868613138687,False,56
t70d_RG,AUTS2,0.23714195,0.099339545,0.099339545,59,3.9927008,0.8925547445255474,False,57
t70d_RG,ZFP36L1,0.2367749,0.09333425,0.09333425,67,2.7506568,0.7994160583941606,False,58
t70d_RG,RANBP1,0.23287562,0.10962752,0.10962752,48,3.0668614,0.8732846715328467,False,59
t70d_RG,PTMS,0.23182134,0.105963305,0.105963305,53,2.4814599,0.7585401459854014,False,60
t70d_RG,SOX2-OT,0.23102126,0.09537824,0.09537824,64,2.098102,0.637956204379562,False,61
t70d_RG,PTPRS,0.23077327,0.12781788,0.12781788,30,1.4140146,0.5664233576642336,False,62
t70d_RG,CTNNB1,0.22707136,0.12875706,0.12875706,28,1.8910949,0.7077372262773722,False,63
t70d_RG,CASC15,0.22499387,0.08899015,0.08899015,75,2.7036495,0.7772262773722628,False,64
t70d_RG,CCNI,0.22254431,0.09131933,0.09131933,72,2.739854,0.8528467153284671,False,65
t70d_RG,CLU,0.22188352,0.08659018,0.08659018,78,1.5170803,0.6528467153284672,False,66
t70d_RG,HMGA2,0.22073513,0.08802811,0.08802811,76,2.2671533,0.6043795620437956,False,67
t70d_RG,GLI3,0.21918264,0.091979876,0.091979876,70,2.0221899,0.64,False,68
t70d_RG,CALM1,0.2184034,0.07998807,0.07998807,85,2.4429197,0.8169343065693431,False,69
t70d_RG,CREB5,0.21838903,0.100026906,0.100026906,58,3.821606,0.7054014598540146,False,70
t70d_RG,LINC01965,0.21730736,0.08055918,0.08055918,82,2.0353284,0.3921167883211678,False,71
t70d_RG,JPT1,0.21730183,0.09279573,0.09279573,69,2.9915328,0.8265693430656934,False,72
t70d_RG,GSTP1,0.21529317,0.09050727,0.09050727,74,3.1719708,0.8893430656934307,False,73
t70d_RG,TMSB15A,0.21506448,0.091504335,0.091504335,71,3.319124,0.8916788321167883,False,74
t70d_RG,DUT,0.214382,0.09084934,0.09084934,73,1.8411679,0.6937226277372263,False,75
t70d_RG,SKP1,0.21429342,0.09554978,0.09554978,63,3.5445256,0.9392700729927008,False,76
t70d_RG,CDON,0.2129805,0.074852645,0.074852645,92,1.4837956,0.5398540145985401,False,77
t70d_RG,NUCKS1,0.2121653,0.094487645,0.094487645,65,2.8540146,0.7722627737226277,False,78
t70d_RG,EIF4A1,0.21071418,0.098707035,0.098707035,60,3.8148906,0.9255474452554744,False,79
t70d_RG,CNN3,0.209375,0.077952355,0.077952355,87,2.8560584,0.8808759124087592,False,80
t70d_RG,PTGES3,0.20906849,0.0847486,0.0847486,80,3.2770803,0.9091970802919708,False,81
t70d_RG,DYNLL1-1,0.20715968,0.083124965,0.083124965,81,3.3287592,0.8934306569343066,False,82
t70d_RG,ERBB4,0.20487016,0.093328536,0.093328536,68,2.9357665,0.4143065693430657,False,83
t70d_RG,MDK,0.2036078,0.085051164,0.085051164,79,2.1737227,0.7497810218978103,False,84
t70d_RG,SETBP1,0.20338671,0.074842736,0.074842736,93,2.751241,0.807007299270073,False,85
t70d_RG,HMGN3,0.20106734,0.08007207,0.08007207,83,3.631533,0.9001459854014598,False,86
t70d_RG,PRDX1,0.20081636,0.07169998,0.07169998,99,2.0070074,0.8067153284671533,False,87
t70d_RG,MIR100HG,0.20080966,0.07732539,0.07732539,89,2.1626277,0.632992700729927,False,88
t70d_RG,FOXP1,0.20003359,0.071717545,0.071717545,98,1.6986861,0.6575182481751825,False,89
t70d_RG,TMA7,0.19864027,0.071411856,0.071411856,100,3.0513868,0.9170802919708028,False,90
t70d_RG,SHROOM3,0.19800496,0.06355946,0.06355946,121,2.4607298,0.7141605839416059,False,91
t70d_RG,EIF4A2,0.19783472,0.07700536,0.07700536,90,2.5337226,0.875036496350365,False,92
t70d_RG,ZBTB20,0.19745499,0.07977194,0.07977194,86,2.5456934,0.7675912408759125,False,93
t70d_RG,METAP2,0.19666697,0.06294557,0.06294557,122,2.0078833,0.6908029197080292,False,94
t70d_RG,ADGRV1,0.19648334,0.06793745,0.06793745,107,2.5223358,0.7261313868613138,False,95
t70d_RG,CDC42,0.19450366,0.0978498,0.0978498,61,1.4569343,0.6627737226277373,False,96
t70d_RG,HMGCS1,0.19390136,0.08006394,0.08006394,84,2.2472992,0.703941605839416,False,97
t70d_RG,DOK5,0.19291764,0.073322,0.073322,94,1.7421898,0.5363503649635036,False,98
t70d_RG,GPM6B,0.1917005,0.07265985,0.07265985,95,2.9635036,0.8318248175182482,False,99
t70d_RG,MAGI1,0.19015568,0.064993255,0.064993255,116,2.3121169,0.7693430656934307,False,100
t70d_RG,BTG1,0.18992822,0.06446457,0.06446457,117,1.6835036,0.7100729927007299,False,101
t70d_RG,GPM6A,0.18861936,0.07092515,0.07092515,103,2.4458394,0.7816058394160584,False,102
t70d_RG,MEG3,0.18848956,0.071220584,0.071220584,102,1.3845255,0.5798540145985401,False,103
t70d_RG,LSAMP,0.18825018,0.06392297,0.06392297,120,2.3170803,0.672992700729927,False,104
t70d_RG,H4C3,0.18697195,0.07736582,0.07736582,88,4.6058393,0.4391240875912409,False,105
t70d_RG,EGR1,0.1868745,0.076994404,0.076994404,91,1.1296351,0.2624817518248175,False,106
t70d_RG,ID4,0.1863374,0.064286076,0.064286076,118,2.0478833,0.5985401459854015,False,107
t70d_RG,HES6,0.18578032,0.06255556,0.06255556,123,1.0230657,0.4143065693430657,False,108
t70d_RG,HES4,0.18574743,0.07210571,0.07210571,97,2.1325548,0.7118248175182482,False,109
t70d_RG,CKS2,0.1853259,0.06688252,0.06688252,110,2.9360583,0.6011678832116788,False,110
t70d_RG,KAZN,0.18511553,0.057950538,0.057950538,132,1.8817518,0.6624817518248175,False,111
t70d_RG,RBMX,0.18457246,0.06780912,0.06780912,108,2.8820438,0.875036496350365,False,112
t70d_RG,NCAM1,0.18438274,0.06528826,0.06528826,114,2.0373724,0.6951824817518248,False,113
t70d_RG,POLR2L,0.18405265,0.061395396,0.061395396,124,1.7459854,0.7734306569343066,False,114
t70d_RG,ROBO2,0.18368474,0.06573668,0.06573668,113,1.3176643,0.5121167883211679,False,115
t70d_RG,NCKAP5,0.18153821,0.056763552,0.056763552,134,2.3124087,0.6537226277372262,False,116
t70d_RG,SQLE,0.18054199,0.0694803,0.0694803,104,1.6686132,0.712992700729927,False,117
t70d_RG,GPC6,0.18016611,0.07223451,0.07223451,96,2.6910949,0.6872992700729927,False,118
t70d_RG,IER2,0.17933337,0.064151056,0.064151056,119,1.8367883,0.5436496350364963,False,119
t70d_RG,SNRPD2-1,0.17767332,0.065744646,0.065744646,112,2.419562,0.8645255474452554,False,120
t70d_RG,FOXP2,0.17758083,0.05889922,0.05889922,128,0.98072994,0.4230656934306569,False,121
t70d_RG,CCNA2,0.17736726,0.058766823,0.058766823,129,1.3433577,0.498978102189781,False,122
t70d_RG,SCHIP1,0.1770579,0.056005478,0.056005478,139,1.1938686,0.6327007299270073,False,123
t70d_RG,PTTG1,0.17703015,0.071309514,0.071309514,101,2.2064233,0.4464233576642336,False,124
t70d_RG,ZIC1,0.17623694,0.069375314,0.069375314,105,0.8090511,0.2998540145985401,False,125
t70d_RG,CRB2,0.17619747,0.06836484,0.06836484,106,0.7859854,0.4508029197080292,False,126
t70d_RG,CENPF,0.17468236,0.06696158,0.06696158,109,2.0221899,0.367007299270073,False,127
t70d_RG,RERE,0.17460054,0.053810343,0.053810343,147,1.979854,0.7597080291970802,False,128
t70d_RG,C4orf48,0.17424244,0.056657035,0.056657035,135,1.5357665,0.7097810218978102,False,129
t70d_RG,MIR924HG,0.17413738,0.06522804,0.06522804,115,1.780438,0.5068613138686131,False,130
t70d_RG,MSMO1,0.17309962,0.059202336,0.059202336,126,1.5716789,0.6490510948905109,False,131
t70d_RG,TNRC6B,0.17233872,0.066814594,0.066814594,111,1.5728468,0.6805839416058395,False,132
t70d_RG,IL1RAPL1,0.17009637,0.056814656,0.056814656,133,1.8943065,0.5702189781021898,False,133
t70d_RG,PARD3B,0.16920756,0.055442143,0.055442143,143,1.6648176,0.6248175182481752,False,134
t70d_RG,TOP2A,0.16846023,0.058024235,0.058024235,131,3.01781,0.3988321167883211,False,135
t70d_RG,CXCR4,0.1682619,0.056048196,0.056048196,138,1.0616058,0.4624817518248175,False,136
t70d_RG,CDH12,0.16774306,0.058182288,0.058182288,130,1.6516788,0.4852554744525547,False,137
t70d_RG,SFRP1,0.16757014,0.059258927,0.059258927,125,1.7442336,0.5127007299270073,False,138
t70d_RG,BIRC5,0.16544592,0.056632794,0.056632794,136,1.2119708,0.3678832116788321,False,139
t70d_RG,FGFBP3,0.16434328,0.054171927,0.054171927,146,0.8890511,0.4160583941605839,False,140
t70d_RG,EIF1B,0.16382515,0.056248676,0.056248676,137,1.5731387,0.7132846715328467,False,141
t70d_RG,UHRF1,0.16355821,0.059015542,0.059015542,127,0.7232117,0.4300729927007299,False,142
t70d_RG,PAM,0.16345261,0.055739183,0.055739183,140,1.389781,0.5848175182481752,False,143
t70d_RG,FOXG1,0.16332556,0.05354541,0.05354541,149,0.7471533,0.3871532846715328,False,144
t70d_RG,TYMS,0.16309513,0.055673704,0.055673704,141,0.9159124,0.4461313868613138,False,145
t70d_RG,UBE2C,0.16206262,0.053680845,0.053680845,148,2.8621898,0.3702189781021898,False,146
t70d_RG,ROBO1,0.16179627,0.05516395,0.05516395,145,2.2443795,0.5851094890510949,False,147
t70d_RG,BCL11A,0.16090763,0.055286914,0.055286914,144,1.1173723,0.5585401459854015,False,148
t70d_RG,LRRC4C,0.15885344,0.0533271,0.0533271,150,1.8233577,0.4265693430656934,False,149
t70d_RG,TENM2,0.15655865,0.05557136,0.05557136,142,2.199124,0.3521167883211679,False,150
t70d_RG,ASCL1,0.11891299,0.02112457,0.02112457,451,0.42510948,0.223941605839416,True,151
t70d_RG,NEUROG2,0.11599402,0.019128287,0.019128287,481,0.28671533,0.1710948905109489,True,152
t70d_RG,IL17RD,0.096715786,0.005401123,0.005401123,966,0.09313869,0.0747445255474452,True,153
t70d_RG,DLX2,0.08978927,0.0022116927,0.0022116927,1337,0.029781021,0.0137226277372262,True,154
